31
attribute_name   attribute_type
floral               1
graphic              1
striped              1
embroidered          1
pleated              1
solid                1
lattice              1
print                1
denim                2
chiffon              2
cotton               2
leather              2
knit                 2
mesh                 2
fur                  2
lace                 2
long-sleeve          4
sleeveless           4
crew-neck            4
v-neck               4
turtle-neck          4
round-neck           4
collar               4
collarless           4
tie                  4
zip                  4
loose                5
fit                  5
skinny               5
retro                5
sporty               5
